"site_id","address"
"333261","144 Street North of Stony Plain Road"
"410256","144A Avenue West of  62 Street"
"410440","145 Avenue West of  59 Street"
"410636","145 Avenue West of 116 Street"
"410644","145 Avenue West of 117 Street"
"333333","145 Street North of  80 Avenue"
"333345","145 Street North of  84 Avenue"
"333353","145 Street North of  87 Avenue"
"333381","145 Street North of  96 Avenue"
"410820","146 Avenue West of  52 Street"
"410864","146 Avenue West of  62 Street"
"411180","147 Avenue West of  62 Street"
"411084","147 Avenue West of Fraser Way"
"259973","147 Street North of  43 Avenue"
"260015","147A Street North of  46 Avenue"
"333897","149 Street North of 106 Avenue North"
"333913","149 Street North of 110 Avenue"
"333929","149 Street North of 114 Avenue"
"333941","149 Street North of 118 Avenue"
"333973","149 Street North of 128 Avenue"
"333985","149 Street North of 135 Avenue"
"333797","149 Street North of Whitemud Drive "
"318808","153 Avenue West of 139 Street"
"412112","149A Avenue West of  83 Street"
"412040","149A Avenue West of  75 Street"
"412096","149A Avenue West of  81 Street"
"318660","150 Avenue West of 132 Street"
"414412","153 Avenue West of Griesbach Road"
"318792","153 Avenue West of 134 Street"
"414308","153 Avenue West of Miller Boulevard"
"414180","153 Avenue West of Meridian Street"
"261161","153 Street North of 76 Avenue"
"334353","153 Street North of  89 Avenue"
"261311","154 Street North of  76A Avenue"
"261305","154 Street North of  76A Avenue"
"318852","155 Avenue West of 130 Street"
"318860","155 Avenue West of 131 Street"
"334725","156 Street North of  89 Avenue"
"261683","156 Street North of 76A Avenue"
"334701","156 Street North of  79A Avenue"
"334705","156 Street North of  80 Avenue"
"334717","156 Street North of  84 Avenue"
"335953","168 Street North of  92 Avenue"
"334721","156 Street North of  87 Avenue"
"336013","169 Street North of  88 Avenue"
"334769","156 Street North of  99 Avenue"
"334809","156 Street North of 107 Avenue"
"334829","156 Street North of 112 Avenue"
"334845","156 Street North of 118 Avenue"
"334849","156 Street North of 121A Avenue"
"334877","156 Street North of 137 Avenue"
"261665","156 Street North of Rio Terrace Drive"
"415484","157 Avenue West of  59 Street"
"415740","157 Avenue West of 116 Street"
"415716","157 Avenue West of Castle Downs Road"
"416012","158 Avenue West of  64 Street"
"416152","158 Avenue West of  88 Street"
"416256","158 Avenue West of 109 Street"
"319024","158 Avenue West of 127 Street"
"262109","159 Street North of  78 Avenue"
"335077","159 Street North of  81 Avenue"
"336125","170 Street North of 117 Avenue"
"263609","170 Street North of  64 Avenue"
"335081","159 Street North of  83 Avenue"
"335169","159 Street North of 109 Avenue"
"416704","159A Avenue West of  59 Street"
"416756","159A Avenue West of  88 Street"
"416864","160 Avenue West of  78 Street"
"335221","160 Street North of  89A Avenue"
"417064","160A Avenue West of  84 Street"
"335505","163 Street North of  89 Avenue"
"419044","164A Avenue West of  64 Street"
"419244","165 Avenue West of  66 Street"
"419260","165 Avenue West of  67A Street"
"419320","165 Avenue West of  95 Street"
"335697","165 Street North of  87 Avenue"
"335709","165 Street North of  89 Avenue"
"335725","165 Street North of  93 Avenue"
"335825","166A Street North of 110 Avenue"
"335829","166A Street North of 111 Avenue"
"420060","167 Avenue NE West of   9 Street NE"
"420100","167 Avenue West of  10 Street"
"420240A","167 Avenue West of  50 Street"
"420240","167 Avenue West of  50 Street"
"420384","167 Avenue West of  95 Street"
"319524","167 Avenue West of 142 Street"
"420156","167 Avenue West of Fort Road"
"420200","167 Avenue West of Zaychuk Road"
"335857","167 Street North of  94 Avenue"
"420832","167A Avenue West of 106 Street"
"421276","168 Avenue West of 106 Street "
"335949","168 Street North of  91 Avenue"
"263615","170 Street North of  69 Avenue"
"336061","170 Street North of Whitemud Drive"
"336081","170 Street North of 100 Avenue"
"336129","170 Street North of 118 Avenue"
"336145","170 Street North of 129 Avenue"
"336105","170 Street North of 105 Avenue"
"336113","170 Street North of 109 Avenue"
"336117","170 Street North of 110 Avenue"
"336149","170 Street North of 137 Avenue"
"336121","170 Street North of 114 Avenue"
"336065","170 Street North of  87 Avenue"
"336069","170 Street North of  90 Avenue"
"336073","170 Street North of  95 Avenue"
"336061B","170 Street North of Whitemud Drive"
"263525","170 Street SW North of Ellerslie Road SW"
"422284","171 Avenue West of 110 Street"
"422292","171 Avenue West of 111 Street"
"422594","172 Avenue East of 106 Street"
"422592","172 Avenue West of 104 Street"
"263843","172 Street North of  63 Avenue"
"263855","172 Street North of  67 Avenue"
"263873","172 Street North of  75 Avenue"
"263861","172 Street North of  69 Avenue"
"336213","172 Street North of  95 Avenue"
"336233","172 Street North of 106A Avenue"
"263819","172 Street North of Lessard Drive"
"422900","173 Avenue West of  82 Street"
"422908","173 Avenue West of Klarvatten Lake Wynd"
"336317","175 Street North of  82 Avenue"
"423974","176 Avenue East of 104 Street"
"423988","176 Avenue West of 107 Street"
"265457","184 Street North of Wedgewood Boulevard"
"264593","178 Street North of  64 Avenue"
"264599","178 Street North of  69 Avenue"
"426496","195 Avenue West of Meridian Street"
"264605","178 Street North of  76 Avenue"
"336493","178 Street North  of  81 Avenue"
"336517","178 Street North of  90 Avenue"
"336525","178 Street North of  95 Avenue"
"336553","178 Street North of 102 Avenue"
"267299","199 Street North of  35 Avenue"
"336573","178 Street North of 107 Avenue"
"424900","179 Avenue West of  92 Street"
"425236","180 Avenue West of  82 Street"
"425252","180 Avenue West of  85 Street"
"425268","180 Avenue West of  89 Street"
"264959","181 Street North of  58 Avenue"
"336733","181 Street North of  80 Avenue"
"336773","182 Street North of  81 Avenue"
"336789","182 Street North of  89 Avenue"
"336793","182 Street North of  91 Avenue"
"265547","184 Street North of  73 Avenue"
"265379","184 Street North of  23 Avenue"
"265469","184 Street North of  52 Avenue"
"265475","184 Street North of  57 Avenue"
"336861","184 Street North of  82 Avenue"
"336929","184 Street North of 111 Avenue"
"265387","184 Street South of Anthony Henday Drive"
"336937","184 Street North of 116 Avenue"
"336957","184 Street North of 137 Avenue"
"267251","199 Street North of  23 Avenue"
"267369","199 Street North of  44 Avenue"
"267377","199 Street North of  45 Avenue"
"337697","206 Street North of  91 Avenue"
"267389","199 Street North of  62 Avenue"
"267383","199 Street North of Hemingway Road"
"267395","199 Street North of  69 Avenue"
"265235","184 Street SW North of  41 Avenue SW"
"265649","185 Street North of  52 Avenue"
"265829","186 Street North of  57 Avenue"
"265895","187 Street North of  52 Avenue"
"337061","187 Street North of  82 Avenue"
"266051","188 Street North of  57 Avenue"
"337109","188 Street North of  82 Avenue"
"266027","188 Street North of Lessard Road"
"266231","189 Street North of  59 Avenue"
"337169","189 Street North of  90 Avenue"
"337173","189 Street North of  90A Avenue"
"337201","189 Street North of  95A Avenue"
"337225","189 Street North of 111 Avenue"
"337241","189A Street North of  82 Avenue"
"266363","190 Street North of  53 Avenue"
"426488","195 Avenue NE West of Fort Road NE"
"426596","195 Avenue North West of  18 Street"
"426668","195 Avenue West of  34 Street"
"337413","199 Street North of 100 Avenue"
"426740","195 Avenue West of  50 Street"
"337437","199 Street North of 118A Avenue"
"267185","199 Street North of Grandisle Road"
"337417","199 Street North of Stony Plain Road"
"337439","199 Street South of Trumpeter Way"
"268097","204 Street North of  48 Avenue"
"268085","204 Street North of  45 Avenue"
"268103","204 Street North of  50 Avenue"
"268247","205 Street North of  56 Avenue"
"427216","211 Avenue NE West of  17 Street NE"
"427208","211 Avenue NE West of  31 Street NE"
"338065","213 Street North of  92 Avenue"
"269279","215 Street North of  23 Avenue"
"269315","215 Street North of  35 Avenue "
"269387","215 Street North of  62 Avenue"
"338085","215 Street North of  98 Avenue"
"338137","215 Street North of 118A Avenue"
"269415","215 Street North of Costco Access North"
"269351A","215 Street North of E Lapotac Boulevard"
"269351","215 Street North of Lapotac Boulevard"
"269183","215 Street SW North of  25 Avenue SW"
"427352","227 Avenue West of  18 Street"
"204748","Ellerslie Road SW West of 141 Street SW"
"427296","227 Avenue West of  34 Street"
"427424","227 Avenue West of  34 Street"
"427304","227 Avenue West of Meridian Street"
"338885","231 Street North of  79 Avenue"
"204772","Ellerslie Road SW West of 170 Street SW"
"338901","231 Street North of 112 Avenue"
"338909","231 Street North of 118A Avenue"
"338889","231 Street South of Stony Plain Road"
"236104"," 76 Avenue West of 173 Street"
"236116"," 76 Avenue West of 176 Street"
"236422","77 Avenue N West of 109 Street"
"521272"," 78 Avenue West of  77 Street"
"300332"," 80 Avenue West of 143 Street"
"300340"," 80 Avenue West of 146 Street"
"301420"," 84 Avenue West of 145 Street"
"301676"," 85 Avenue West of 143 Street"
"303036"," 89 Avenue West of 184 Street "
"530015","Anthony Henday Drive East South of Whitemud Drive"
"266963","Anthony Henday Drive North of Callingwood Road"
"337309","Anthony Henday Drive West North of 87 Avenue"
"266933","Anthony Henday Drive North of Lessard Road"
"337305","Anthony Henday Drive West North of Whitemud Drive"
"520180","Argyll Road West of  72 Street "
"526012","Baseline Road West of  17 Street"
"416416","Beaumaris Road West of Stirling Road"
"111939","Bellamy Hill South of  99 Avenue"
"302220","Buena Vista Road West of 140 Street"
"250289","Calgary Trail North of G.A. MacDonald Avenue"
"250229","Calgary Trail SW North of Gateway Park Road SW"
"260757","Carter Crest Road South of Carse Lane"
"260369","Carter Crest Way North of Lawrence Court"
"432089","Clareview Road East North of 129 Avenue"
"432513","Clareview Road North of 132A Avenue"
"432493","Clareview Road West North of 129 Avenue"
"524860","Connors Road West of Cloverdale Road "
"504584","Ellerslie Road SW West of  17 Street SW"
"504624","Ellerslie Road SW West of  34 Street SW"
"204724","Ellerslie Road SW West of MacEwan Road SW"
"504768","Ellerslie Road SW West of 101 Street SW"
"110873","Fort Road North of 117 Avenue"
"504552","Ellerslie Road SW West of Meridian Street SW"
"204760","Ellerslie Road SW West of Rabbit Hill Road SW"
"505284","Ellwood Road SW West of  91 Street SW"
"505716","Ellwood Road SW West of Ellwood Drive SW"
"239314","Emily Murphy Park Road West of Saskatchewan Drive"
"218146","Falconer Gate West of Falconer Road "
"261911","Falconer Road North of Forbes Way"
"414282","Fort Road East of  34 Street"
"402834","Fort Road East of  62 Street"
"110845","Fort Road North of 119 Avenue"
"110941","Fort Road North of 121 Avenue"
"430813","Fort Road NE North of 195 Avenue NE"
"430769","Fort Road NE North of 211 Avenue NE"
"111119","Fort Road North of 122 Avenue"
"435105","Fort Road North of 134 Avenue"
"433425","Fort Road North of 153 Avenue"
"432781","Fort Road North of 167 Avenue"
"437273","Fort Road North of Mount Lawn Road"
"402330","Fort Road West of  63 Street"
"424448","Fort Road West of Meridian Street"
"232960","Fox Drive Westbound to Whitemud Drive Southbound"
"536455","Fulton Road North of Fulton Drive"
"527036","Fulton Road West of  50 Street"
"527044","Fulton Road West of  52 Street"
"527060","Fulton Road West of  60 Street"
"250061","Gateway Boulevard North of G.A. MacDonald Avenue"
"441777","Griesbach School Road North of Kinross Road"
"330309","Groat Road North of Emily Murphy Park Road"
"330317","Groat Road North of Victoria Park Road"
"261341","Haddow Drive North of Tomlinson Common"
"600017","High Level Bridge"
"100748","Jasper Avenue West of 115 Street"
"100768","Jasper Avenue West of 120 Street"
"102948","Kingsway West of 102 Street"
"103000","Kingsway West of 120 Street "
"318014","LeClair Way East of 184 Street"
"215848","Leger Boulevard West of Lauber Crescent West"
"260339","Leger Way North of Latta Crescent"
"260345","Leger Way North of Leger Road"
"337861","Lewis Estates Boulevard North of Breckenridge Drive"
"206026","Macewan Road SW West of Macewan Close SW"
"206002","Macewan Road SW West of McAllister Loop East SW"
"206038","Macewan Road SW West of McAllister Loop West SW"
"435133","Manning Drive North of 142 Avenue"
"434081","Manning Drive North of 144 Avenue"
"435161","Manning Drive North of 160 Avenue"
"515184","Maple Road West of Tamarack Way"
"206134","McAllister Loop SW East of McAllister Way North SW"
"334906","Meadowlark Road North of  90 Avenue"
"533775","Mill Woods Road East North of  23 Avenue "
"533763","Mill Woods Road East North of  18 Avenue"
"266381","Ormsby Road West North of Ormsby Lane South"
"533771","Mill Woods Road East North of  21 Avenue"
"537099","Ottewell Road North of  94 Avenue"
"537103","Ottewell Road North of  94B Avenue"
"537119","Ottewell Road North of  97 Avenue"
"533791","Mill Woods Road East North of  33 Avenue"
"533795","Mill Woods Road East North of  34 Avenue"
"533799A","Mill Woods Road East North of  36 Avenue"
"533799","Mill Woods Road East North of 36 Avenue"
"538199","Mill Woods Road North of  23 Avenue"
"538241","Mill Woods Road North of  38A Avenue"
"538211","Mill Woods Road North of  29 Avenue"
"437073","Ozerna Road North of 164 Avenue"
"533787","Mill Woods Road North of  32 Avenue"
"538223","Mill Woods Road North of  34 Avenue"
"538195","Mill Woods Road North of Knottwood Road"
"508328","Mill Woods Road South West of  49A Street"
"508368","Mill Woods Road South West of  66 Street"
"508336","Mill Woods Road South West of  50 Street"
"258959","Rabbit Hill Road North of  23 Avenue "
"258983","Rabbit Hill Road North of Cormack Crescent"
"258977","Rabbit Hill Road North of Leger Boulevard"
"508352","Mill Woods Road South West of  62 Street"
"515772","Mill Woods Road West of  87 Street"
"508344","Mill Woods South West of  54 Street"
"434109","Miller Boulevard North of 152 Avenue"
"409888","Miller Boulevard West of Manning Drive Southbound"
"259763","Oeming Road North of Oaks Gate"
"258593","Omand Drive North of Ogilvie Boulevard"
"217906","Omand Drive West of O'Connor Close"
"232671","Ormsby Road East East of 188 Street"
"266069","Ormsby Road East North of  62B Avenue"
"258965","Rabbit Hill Road North of Leger Way"
"258935","Rabbit Hill Road North of Sandin Way"
"258953","Rabbit Hill Road North of Tory Gate"
"337397","Ray Gibbons Drive North of Anthony Henday Drive"
"261635","Riverbend Road North of Rhatigan Road East"
"256781","Saskatchewan Drive North of University Avenue"
"523960","Saskatchewan Drive West of 100 Street"
"238792","Saskatchewan Drive West of 105 Street"
"238816","Saskatchewan Drive West of 107 Street"
"523768","Saskatchewan Drive West of Tommy Banks Way"
"111769","Scona Road North of 94 Avenue"
"101818","Stadium Road East of  92 Street"
"308608","Stony Plain Road West of 161 Street"
"308712","Stony Plain Road West of 180 Street"
"308728","Stony Plain Road West of 184 Street"
"308736","Stony Plain Road West of 186 Street"
"308792","Stony Plain Road West of 222 Street"
"308752","Stony Plain Road West of Anthony Henday Drive"
"261441","Terwillegar Drive North of  23 Avenue"
"263547","Terwillegar Drive North of Anthony Henday Drive Westbound"
"261605","Terwillegar Drive North of Haddow Drive"
"260309","Towne Centre Boulevard North of Terwillegar Common"
"260335","Towne Centre Boulevard North of Tufford Way"
"432653","Victoria Trail North of 151 Avenue"
"432613","Victoria Trail North of Yellowhead Trail Westbound"
"536211","Watt Boulevard SW North of  13 Avenue SW"
"503124","Watt Boulevard SW West of  61 Street SW"
"437645","Wayne Gretzky Drive North of 118 Avenue"
"437619","Wayne Gretzky Drive North of Capilano Bridge"
"302464","Webber Greens Drive West of 199 Street"
"304956","Webber Greens Drive West of 213 Street"
"303576","Webber Greens Drive West of Suder Greens Drive"
"223556","Whitemud Drive East of 149 Street"
"259841","Whitemud Drive North of  53 Avenue"
"223420","Whitemud Drive West of 111 Street"
"223564","Whitemud Drive West of 149 Street"
"223678","Whitemud Drive West of 170 Street"
"517736","Whitemud Drive West of Anthony Henday Drive East"
"223216","Whitemud Drive West of Gateway Boulevard"
"316426","Yellowhead Trail Service Road East of 133 Street"
"400208","Yellowhead Trail West of  17 Street"
"400112","Yellowhead Trail West of  33 Street NE"
"316316","Yellowhead Trail West of 149 Street"
"316359","Yellowhead Trail West of 184 Street"
"330345","Groat Road North of 109 Avenue"
"316383","Yellowhead Trail West of Anthony Henday Drive West"
"400188","Yellowhead Trail West of Meridian Street"
"316287","Yellowhead Trail West of St.Albert Trail"
"400216","Yellowhead Trail Westbound West of  17 Street"
"512388","Youville Drive East East of  55 Street"
"433613","Zaychuk Road North of 167 Avenue"
"505840","2 Avenue SW West of  65 Street SW"
